cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00573519;P60005915;Carson, Benjamin S.;#REF!;DISSOLVE.COM;760;22-may-15;CALGARY;AB;T2V5K;WEB SERVICE;SB23;1024324;SB23CCUV.10109
C00573519;P60005915;Carson, Benjamin S.;#REF!;ALASKA REPUBLICAN PARTY;2500;19-oct-15;ANCHORAGE;AK;99503;BALLOT ACCESS FEE;SB23;1057553;SB23.44016
C00573519;P60005915;Carson, Benjamin S.;#REF!;ALASKA REPUBLICAN PARTY;500;9-sep-15;ANCHORAGE;AK;99503;FACILITY RENTAL;SB23;1029311;SB23.90296
C00573519;P60005915;Carson, Benjamin S.;#REF!;MARTIN VENTURES;136001.61;19-Jan-16;BIRMINGHAM;AL;35211;TRAVEL;SB23;1051531;SB235.1132
C00573519;P60005915;Carson, Benjamin S.;#REF!;GRIFFIN, LAUREN;432;4-Jan-16;MOBILE;AL;36695;FINANCE CONSULTING;SB23;1051531;SB235.849
C00573519;P60005915;Carson, Benjamin S.;#REF!;DB OPERATIONS;1391.28;27-Jan-16;MOBILE;AL;36609;OFFICE SUPPLIES;SB23;1051531;SB235.900
C00573519;P60005915;Carson, Benjamin S.;#REF!;UNIVERSITY OF SOUTH AL MITCHELL CENTER;13424.5;24-nov-15;MOBILE;AL;36688;FACILITY RENTAL/EQUIPMENT RENTAL;SB23;1057553;SB23.44397
C00573519;P60005915;Carson, Benjamin S.;#REF!;VITA CAPITAL;4719.19;14-oct-15;MOBILE;AL;36609;FACILITY RENTAL/FOOD/BEVERAGES;SB23;1057553;SB23.44403
C00573519;P60005915;Carson, Benjamin S.;#REF!;VITA CAPITAL;4575.68;1-oct-15;MOBILE;AL;36609;PHOTOGRAPHY SERVICE/TRAVEL;SB23;1057553;SB23.44666
C00573519;P60005915;Carson, Benjamin S.;#REF!;NEWMANS CATERING;2948.11;4-Dec-15;MOBILE;AL;36605;CATERING;SB23;1057553;SB23.44044
C00573519;P60005915;Carson, Benjamin S.;#REF!;OPTIMUM IMPACT LLC;3522.53;6-nov-15;PIKE ROAD;AL;36064;FACILITY RENTAL/FOOD/BEVERAGES;SB23;1057553;SB23.44402
C00573519;P60005915;Carson, Benjamin S.;#REF!;PORT CITY RENTALS;771.87;4-Dec-15;MOBILE;AL;36607;EQUIPMENT RENTAL/STAGING/LIGHTING;SB23;1057553;SB23.44387
C00573519;P60005915;Carson, Benjamin S.;#REF!;MC CONSULTING GROUP;5375.2;8-Dec-15;MOBILE;AL;36609;FINANCE CONSULTING;SB23;1057553;SB23.44412
C00573519;P60005915;Carson, Benjamin S.;#REF!;MC CONSULTING GROUP;4100;1-oct-15;MOBILE;AL;36609;FINANCE CONSULTING;SB23;1057553;SB23.44414
