cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00578757;P60007697;Graham, Lindsey O.;#REF!;ALABAMA REPUBLICAN PARTY;10000;18-oct-15;BIRMINGHAM;AL;35216;FILING FEE;SB23;1047160;SB23.98074
C00578757;P60007697;Graham, Lindsey O.;#REF!;THE CAPITAL HOTEL;724.46;8-jun-15;LITTLE ROCK;AR;72201;EVENT CATERING;SB23;1025025;SB23CCUV.8158
C00578757;P60007697;Graham, Lindsey O.;#REF!;WAL-MART;2.29;17-sep-15;BENTONVILLE;AR;72712;OFFICE SUPPLIES;SB23;1029629;SB23.9623
C00578757;P60007697;Graham, Lindsey O.;#REF!;SAM'S CLUB;109.92;25-sep-15;BENTONVILLE;AR;72712;OFFICE SUPPLIES;SB23;1029629;SB23.9483
C00578757;P60007697;Graham, Lindsey O.;#REF!;THE REPUBLICAN PARTY OF ARKANSAS;25000;5-nov-15;LITTLE ROCK;AR;72201;FILING FEE;SB23;1047160;SB23.98680
C00578757;P60007697;Graham, Lindsey O.;#REF!;SAM'S CLUB;47.72;7-oct-15;BENTONVILLE;AR;72712;FOOD/BEVERAGE;SB23;1047160;SB23.98612
C00578757;P60007697;Graham, Lindsey O.;#REF!;SAM'S CLUB;27.37;21-oct-15;BENTONVILLE;AR;72712;FOOD/BEVERAGE;SB23;1047160;SB23.98613
C00578757;P60007697;Graham, Lindsey O.;#REF!;WAL-MART;2;24-jul-15;BENTONVILLE;AR;72712;OFFICE SUPPLIES;SB23;1029629;SB23CCUV.10479
C00578757;P60007697;Graham, Lindsey O.;#REF!;SAM'S CLUB;39.81;24-jul-15;BENTONVILLE;AR;72712;FOOD/BEVERAGE;SB23;1029629;SB23CCUV.10270
C00578757;P60007697;Graham, Lindsey O.;#REF!;SAM'S CLUB;31.97;24-jul-15;BENTONVILLE;AR;72712;FOOD/BEVERAGE;SB23;1029629;SB23CCUV.10271
