cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00580159;P60008398;Jindal, Bobby;#REF!;ALABAMA REPUBLICAN PARTY;10000;3-nov-15;BIRMINGHAM;AL;352165479;FILING FEE;SB23;1047156;B01ABFA4A76354501B2F
C00580159;P60008398;Jindal, Bobby;#REF!;REPUBLICAN PARTY OF ARKANSAS;25000;3-nov-15;LITTLE ROCK;AR;722013019;FILING FEE;SB23;1047156;B5A1AF0E547FB46938E3
C00580159;P60008398;Jindal, Bobby;#REF!;WALMART STORES, INC.;504.94;23-jul-15;BENTONVILLE;AR;72716;FOOD/BEVERAGE;SB23;1029078;BE70F030638E94746B0A
C00580159;P60008398;Jindal, Bobby;#REF!;WALMART STORES, INC.;504.94;23-jul-15;BENTONVILLE;AR;72716;FOOD/BEVERAGE;SB23;1029078;B49018941EF5E4CC0B3E
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;348.6;26-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B5AD22BE5407C47B99A9
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;448.6;1-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B474620EA282148EDA12
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;348.6;26-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B66FF0C3C1DD942D8ABC
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;669.2;8-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B3DA1280CBCFF4FCE83E
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;372.6;9-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B27CB4C2B4F45468D9BB
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;348.6;26-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B57FB9EC4FE48460AB2A
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;220.6;26-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;BF34E68212C694A429C0
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;94;1-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B566791AA8E944D539A3
C00580159;P60008398;Jindal, Bobby;#REF!;US AIRWAYS;220.6;26-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1029078;B9F2DCC91659F48B48FF
