cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00583146;P60009685;Lessig, Lawrence;#REF!;RAD COMMUNICATIONS;7500;30-sep-15;BIRMINGHAM;AL;352052003;CAMPAIGN MANAGEMENT CONSULTING SERVICES;SB23;1029491;VQZFQ9ZX9D5
C00583146;P60009685;Lessig, Lawrence;#REF!;USERVOICE;100;27-Aug-15;SAN FRANCISCO;CA;941053611;TELECOMMUNICATIONS SERVICES;SB23;1029491;VQZFQ9ZX2A6
C00583146;P60009685;Lessig, Lawrence;#REF!;SANDBOX SUITES;289.8;21-sep-15;SAN FRANCISCO;CA;941032604;OFFICE SPACE RENTAL;SB23;1029491;VQZFQ9ZXA03
C00583146;P60009685;Lessig, Lawrence;#REF!;SANDBOX SUITES;289.8;28-sep-15;SAN FRANCISCO;CA;941032604;OFFICE SPACE RENTAL;SB23;1029491;VQZFQ9ZXAE4
C00583146;P60009685;Lessig, Lawrence;#REF!;STRIPE;16157.79;31-Aug-15;SAN FRANCISCO;CA;941102042;CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZX800
C00583146;P60009685;Lessig, Lawrence;#REF!;STRIPE;10827.76;30-sep-15;SAN FRANCISCO;CA;941102042;CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZX817
C00583146;P60009685;Lessig, Lawrence;#REF!;STRIPE;160.91;30-sep-15;SAN FRANCISCO;CA;941102042;CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZZ9J0
C00583146;P60009685;Lessig, Lawrence;#REF!;STRIPE;-27.31;30-sep-15;SAN FRANCISCO;CA;941102042;RETURNED CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZZ9Z2
C00583146;P60009685;Lessig, Lawrence;#REF!;SUTHERLAND, ELISABETH;1200;18-sep-15;BERKELEY;CA;947081601;SOCIAL MEDIA CONSULTING SERVICES;SB23;1029491;VQZFQ9ZXCC4
C00583146;P60009685;Lessig, Lawrence;#REF!;HOTEL TONIGHT;314;23-sep-15;SAN FRANCISCO;CA;941053720;LODGING;SB23;1029491;VQZFQ9ZXCW8
C00583146;P60009685;Lessig, Lawrence;#REF!;GOOGLE ADWORDS;500;28-sep-15;MOUNTAIN VIEW;CA;940431351;DIGITAL ADVERTISING;SB23;1029491;VQZFQ9ZXC74
C00583146;P60009685;Lessig, Lawrence;#REF!;GOOGLE ADWORDS;500;28-sep-15;MOUNTAIN VIEW;CA;940431351;DIGITAL ADVERTISING;SB23;1029491;VQZFQ9ZXC82
C00583146;P60009685;Lessig, Lawrence;#REF!;GOOGLE ADWORDS;500;28-sep-15;MOUNTAIN VIEW;CA;940431351;DIGITAL ADVERTISING;SB23;1029491;VQZFQ9ZXC90
C00583146;P60009685;Lessig, Lawrence;#REF!;GOOGLE ADWORDS;500;28-sep-15;MOUNTAIN VIEW;CA;940431351;DIGITAL ADVERTISING;SB23;1029491;VQZFQ9ZXCA8
C00583146;P60009685;Lessig, Lawrence;#REF!;GOOGLE ADWORDS;500;14-sep-15;MOUNTAIN VIEW;CA;940431351;DIGITAL ADVERTISING;SB23;1029491;VQZFQ9ZXBS3
C00583146;P60009685;Lessig, Lawrence;#REF!;PAYPAL;1547.62;31-Aug-15;SAN JOSE;CA;951312021;CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZX7Z2
C00583146;P60009685;Lessig, Lawrence;#REF!;PAYPAL;2893.78;30-sep-15;SAN JOSE;CA;951312021;CREDIT CARD PROCESSING FEES;SB23;1029491;VQZFQ9ZX7Y4
C00583146;P60009685;Lessig, Lawrence;#REF!;RADIUM ONE;5000;27-Aug-15;SAN FRANCISCO;CA;941053498;COMMUNICATIONS CONSULTING SERVICES;SB23;1029491;VQZFQ9ZX215
