cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;89;1-sep-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB975
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;442.6;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB969
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;300.6;11-jun-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB948
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;442.6;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB970
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;17;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB971
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;17;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB972
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;-43;29-Aug-15;PHOENIX;AZ;85034;REFUND OF AIRFARE;SB23;1028934;SB973
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;-43;29-Aug-15;PHOENIX;AZ;85034;REFUND OF AIRFARE;SB23;1028934;SB974
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;-89;11-sep-15;PHOENIX;AZ;85034;REFUND OF AIRFARE;SB23;1028934;SB977
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;-1116.1;11-sep-15;PHOENIX;AZ;85034;REFUND OF AIRFARE;SB23;1028934;SB978
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;29;8-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB953
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;49;8-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB954
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;473.1;8-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB955
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;424.6;8-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB956
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;22;13-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB957
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;22;13-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB958
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;263.1;4-jun-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB947
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;176.1;13-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB959
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;176.1;13-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB960
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;279.6;15-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB961
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;85;22-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB979
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;26;23-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB962
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;69;23-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB963
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;390.96;23-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB964
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;235.1;23-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB965
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;435.6;18-jun-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB949
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;63;18-jun-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB950
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;200;18-jun-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB951
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;25;2-jul-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB952
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;25;6-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB966
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;43;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB967
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;43;28-Aug-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB968
C00500587;P20003281;Perry, James R. (Rick);#REF!;US AIRWAYS;1116.1;1-sep-15;PHOENIX;AZ;85034;AIRFARE;SB23;1028934;SB976
C00500587;P20003281;Perry, James R. (Rick);#REF!;HILTON PASADENA;286.45;25-jun-15;PASADENA;CA;91101;LODGING;SB23;1028934;SB797
C00500587;P20003281;Perry, James R. (Rick);#REF!;HOTEL SAINTE CLAIRE;252.72;26-jun-15;SAN JOSE;CA;95113;LODGING;SB23;1028934;SB253
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;332.1;29-may-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB996
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;489;29-may-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB997
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;332.1;29-may-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB998
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;332.1;29-may-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB999
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;25;4-jun-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB993
C00500587;P20003281;Perry, James R. (Rick);#REF!;VIRGIN AMERICA;7;5-jun-15;BURLINGAME;CA;94010;AIRFARE;SB23;1028934;SB1001
