cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00580100;P80001571;Trump, Donald J.;#REF!;HAMPTON INN & SUITES;494.31;3-sep-15;MOBILE;AL;36602;TRAVEL: LODGING [CHMIELEWSKI: SB23.6753];SB23;1036338;SB23.8108
C00580100;P80001571;Trump, Donald J.;#REF!;SHERATON HOTEL;208.24;22-nov-15;BIRMINGHAM;AL;35203;TRAVEL: LODGING [AMEX: SB23.248392];SB23;1047287;SB23.255395
C00580100;P80001571;Trump, Donald J.;#REF!;HAMPTON INN;339.72;1-sep-15;MOBILE;AL;36602;TRAVEL: LODGING [TELION: SB23.7327];SB23;1036338;SB23.8092
C00580100;P80001571;Trump, Donald J.;#REF!;HAMPTON INN & SUITES;161.37;18-sep-15;MOBILE;AL;36602;TRAVEL: LODGING [MCENTEE: SB23.6734];SB23;1036338;SB23.8107
C00580100;P80001571;Trump, Donald J.;#REF!;SHERATON HOTEL;549.78;31-oct-15;BIRMINGHAM;AL;35203;TRAVEL: LODGING [AMEX: SB23.248392];SB23;1047287;SB23.255048
C00580100;P80001571;Trump, Donald J.;#REF!;C. STEPHEN TRIMMIER;2000;5-nov-15;BIRMINGHAM;AL;35205;RENT;SB23;1047287;SB23.248462
C00580100;P80001571;Trump, Donald J.;#REF!;ALABAMA REPUBLICAN PARTY;300;5-nov-15;BIRMINGHAM;AL;35216;BALLOT ACCESS FEE [AMEX: SB23.248392];SB23;1047287;SB23.255103
C00580100;P80001571;Trump, Donald J.;#REF!;TRIMMIER, C. STEPHEN;2000;5-Jan-16;BIRMINGHAM;AL;35205;RENT AND UTILITIES;SB23;1051572;SB23.289498
C00580100;P80001571;Trump, Donald J.;#REF!;SOUND ASSOCIATES, INC.;11500;31-Jan-16;THEODORE;AL;36582;AUDIO VISUAL SERVICES;SB23;1051572;SB23.288906
C00580100;P80001571;Trump, Donald J.;#REF!;SOUND ASSOCIATES, INC.;13500;7-Jan-16;THEODORE;AL;36582;AUDIO VISUAL SERVICES;SB23;1051572;SB23.288907
C00580100;P80001571;Trump, Donald J.;#REF!;ERNEST F. LADD MEMORIAL STADIUM;21270.67;7-Jan-16;MOBILE;AL;36660;FACILITY RENTAL;SB23;1051572;SB23.289028
C00580100;P80001571;Trump, Donald J.;#REF!;DOUBLETREE;528.19;22-nov-16;BIRMINGHAM;AL;35205;TRAVEL: LODGING [TUCKER: SB23.289541];SB23;1051572;SB23.289887
C00580100;P80001571;Trump, Donald J.;#REF!;TRIMMIER, C. STEPHEN;2000;17-feb-16;BIRMINGHAM;AL;35205;RENT AND UTILITIES;SB23;1056932;SB23.362768
C00580100;P80001571;Trump, Donald J.;#REF!;LINDSEY OFC FURNISHINGS;497.55;4-Jan-16;BIRMINGHAM;AL;35203;OFFICE FURNITURE [AMEX: SB23.362557];SB23;1056932;SB23.363477
C00580100;P80001571;Trump, Donald J.;#REF!;TUCKER, CHAD;961.5;24-feb-16;SATSUMA;AL;36572;TRAVEL: MILEAGE [TUCKER: SB23.362877];SB23;1056932;SB23.363694
C00580100;P80001571;Trump, Donald J.;#REF!;TUCKER, CHAD;293.25;24-feb-16;SATSUMA;AL;36572;TRAVEL: MILEAGE [TUCKER: SB23.362878];SB23;1056932;SB23.363693
C00580100;P80001571;Trump, Donald J.;#REF!;TUCKER, CHAD;293.25;24-feb-16;SATSUMA;AL;36572;TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATIO;SB23;1056932;SB23.362878
C00580100;P80001571;Trump, Donald J.;#REF!;TUCKER, CHAD;961.5;24-feb-16;SATSUMA;AL;36572;TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATIO;SB23;1056932;SB23.362877
C00580100;P80001571;Trump, Donald J.;#REF!;CITY OF MADISON BOARD OF EDUCATION;20000;26-feb-16;MADISON;AL;35758;FACILITY RENTAL;SB23;1056932;SB23.362597
C00580100;P80001571;Trump, Donald J.;#REF!;AAL USA, INC.;2500;28-feb-16;HUNTSVILLE;AL;35824;FACILITY RENTAL;SB23;1056932;SB23.362589
C00580100;P80001571;Trump, Donald J.;#REF!;TRIMMIER, C. STEPHEN;2000;17-feb-16;BIRMINGHAM;AL;35205;RENT AND UTILITIES;SB23;1056932;SB23.362767
C00580100;P80001571;Trump, Donald J.;#REF!;JO-ANN STORE;240.6;27-feb-16;HUNTSVILLE;AL;35805;OFFICE SUPPLIES [AMEX: SB23.455063];SB23;1066437;SB23.455961
C00580100;P80001571;Trump, Donald J.;#REF!;ALABAMA FLAG & BANNER;1576.3;26-feb-16;HUNTSVILLE;AL;35805;PRINTING AND DESIGN SERVICES [AMEX: SB23;SB23;1066437;SB23.456057
