cmte_id;cand_id;cand_nm;Party;recipient_nm;disb_amt;disb_dt;recipient_city;recipient_st;recipient_zip;disb_desc;form_tp;file_num;tran_id
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;727.69;11-mar-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;BA2208C8153E9482DBA8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;780.19;27-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;BAD3414F6171A4846ADB
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;428.97;3-Aug-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;B882FAA487CA2458386E
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;591.2;23-jun-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;BFEC338E5F86440FC9F8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;840.08;14-sep-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;B9152549F06F840DC968
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;661.1;12-jun-15;PHOENIX;AZ;850343802;DSM-DCA;SB23;1057535;BEAB1962919A74B13A80
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;128;1-jun-15;PHOENIX;AZ;850343802;TRAVEL;SB23;1057535;BDA951542E8584DEAA6F
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;400.79;7-sep-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;B7114D774AB3944DEAF8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;200;14-sep-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;B1216BB4D101F401EBA8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;US AIRWAYS;314;1-jul-15;PHOENIX;AZ;850343802;AIRFARE;SB23;1057535;BA773E636F7B347BF80F
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;150;27-Dec-15;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1046960;B967247312C3F4F4E9E1
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;150;27-Jan-16;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1063546;B1583177740CB47F19B2
C00581215;P60008885;Webb, James Henry Jr.;#REF!;VIRGIN AMERICA;4081.2;1-oct-15;BURLINGAME;CA;940102000;AIRFARE;SB23;1046960;B42A3D8C038784604B09
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NATIONBUILDER;8000;16-nov-15;LOS ANGELES;CA;900712600;SOFTWARE;SB23;1046960;BD65C1C3E6D6D4AD8B27
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;150;27-nov-15;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1046960;B8EA7FFB058DF4DBDA28
C00581215;P60008885;Webb, James Henry Jr.;#REF!;SHAW, DENNY;947.81;10-sep-15;SAN DIEGO;CA;;REIMBURSEMENT - SEE MEMO;SB23;1057535;B58A7E745162A4D38B13
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NATIONBUILDER;18000;17-Aug-15;LOS ANGELES;CA;900712600;SOFTWARE;SB23;1057535;BE6B85E4D59A44A4791B
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NATIONBUILDER;8000;15-oct-15;LOS ANGELES;CA;900712600;SOFTWARE;SB23;1046960;B3C87F47CA9D04D79929
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;75;29-oct-15;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1046960;B8C351F08F7014013B57
C00581215;P60008885;Webb, James Henry Jr.;#REF!;SHAW, DENNY;228.24;11-sep-15;SAN DIEGO;CA;;OFFICE EQUIPMENT, OFFICE SUPPLIES;SB23;1057535;B9BDB1FFB1B334C2A978
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NATIONBUILDER;8000;15-sep-15;LOS ANGELES;CA;900712600;SOFTWARE;SB23;1057535;B317BB5C6318F4246A8B
C00581215;P60008885;Webb, James Henry Jr.;#REF!;VIRGIN AMERICA;2396.2;12-sep-15;BURLINGAME;CA;940102000;AIRFARE;SB23;1057535;B78317EBA779640B7886
C00581215;P60008885;Webb, James Henry Jr.;#REF!;SHAW, DENNY;438.33;30-sep-15;SAN DIEGO;CA;;REIMBURSEMENT - SEE MEMO;SB23;1057535;B3FA7199D89E74CADADC
C00581215;P60008885;Webb, James Henry Jr.;#REF!;VIRGIN AMERICA;3468.6;14-feb-16;BURLINGAME;CA;940102000;AIRFARE;SB23;1063546;BC2F58F4584A242E29E3
C00581215;P60008885;Webb, James Henry Jr.;#REF!;SH & I GROUP, INC.;30000;24-mar-16;CARLSBAD;CA;920088817;CONSULTANT SERVICES;SB23;1063546;B459D3D2F2A99402DA38
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CONVERSANT LLC;2693.5;26-feb-16;WESTLAKE VILLAGE;CA;913627319;DIGITAL MARKETING;SB23;1063546;B4A7C848B157B4A8C913
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;150;29-feb-16;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1063546;B5BE53D7C96274652BA7
C00581215;P60008885;Webb, James Henry Jr.;#REF!;MEDIA TEMPLE;150;28-mar-16;CULVER CITY;CA;902322418;WEBSITE HOSTING;SB23;1063546;B7C660E2A21DF4D748B8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;SHAW, DENNY;173.77;18-nov-15;SAN DIEGO;CA;;REIMBURSEMENT;SB23;1046960;B69B4EDDB1833468AA3F
C00581215;P60008885;Webb, James Henry Jr.;#REF!;ARISTOTLE INTERNATIONAL, INC.;4000;3-Dec-15;WASHINGTON;DC;20003;DATABASE SERVICES;SB23;1046960;BE2A32EDD8C354C21A60
C00581215;P60008885;Webb, James Henry Jr.;#REF!;ARISTOTLE INTERNATIONAL, INC.;4000;3-mar-16;WASHINGTON;DC;20003;DATABASE SERVICES;SB23;1063546;B745213117E05443595F
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;1050;23-oct-15;WASHINGTON;DC;200055006;DATABASE SERVICES;SB23;1046960;B02D8E82193A44233A4A
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;1050;3-nov-15;WASHINGTON;DC;200055006;DATABASE SERVICES;SB23;1046960;BB4CD80978DB24614812
C00581215;P60008885;Webb, James Henry Jr.;#REF!;ARISTOTLE INTERNATIONAL, INC.;4000;12-nov-15;WASHINGTON;DC;20003;;SB23;1046960;B6959E28679454221996
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;16-nov-15;WASHINGTON;DC;200095535;;SB23;1046960;B3B6F17583A4246F2AF4
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;10-sep-15;WASHINGTON;DC;200095535;;SB23;1057535;BB837D48CA6744424AF7
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;7950;1-sep-15;WASHINGTON;DC;200055006;;SB23;1057535;B569E12313E5443CAB0C
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;17-Aug-15;WASHINGTON;DC;200095535;;SB23;1057535;B045E949689254CB0B2D
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;5-oct-15;WASHINGTON;DC;200095535;;SB23;1046960;BAF7C5D45BA9D4BAD9A4
C00581215;P60008885;Webb, James Henry Jr.;#REF!;JONES, MARESCA & MCQUADE P.A.;1300;16-oct-15;WASHINGTON;DC;200363114;;SB23;1046960;BD2BA9B54072A448BB1E
C00581215;P60008885;Webb, James Henry Jr.;#REF!;THE NATIONAL PRESS CLUB;4606.96;22-oct-15;WASHINGTON;DC;200451000;;SB23;1046960;B451B2B16C0414F25942
C00581215;P60008885;Webb, James Henry Jr.;#REF!;JONES, MARESCA & MCQUADE P.A.;9110;29-oct-15;WASHINGTON;DC;200363114;;SB23;1046960;B8110EA3FE91744CCAD2
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;6-jun-15;WASHINGTON;DC;200095535;;SB23;1057535;B490E3EF4AF1B49C2BFC
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;750;8-jun-15;WASHINGTON;DC;200055006;;SB23;1057535;B7B55976888AC457CA47
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;10-jul-15;WASHINGTON;DC;200095535;;SB23;1057535;B2EBE4E3660624DE684D
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;7500;17-jul-15;WASHINGTON;DC;200055006;;SB23;1057535;BF4E356B1AC6647C5B7D
C00581215;P60008885;Webb, James Henry Jr.;#REF!;AMTRAK;1360.3;11-mar-15;WASHINGTON;DC;200024285;;SB23;1057535;B97C6654085E242548C9
C00581215;P60008885;Webb, James Henry Jr.;#REF!;AMTRAK;238;9-jul-15;WASHINGTON;DC;200024285;;SB23;1057535;B70747CC9C6D4499F9EB
C00581215;P60008885;Webb, James Henry Jr.;#REF!;AMTRAK;772;10-jun-15;WASHINGTON;DC;200024285;;SB23;1057535;BF05BB72E78E54648A1C
C00581215;P60008885;Webb, James Henry Jr.;#REF!;AMTRAK;772;22-Apr-15;WASHINGTON;DC;200024285;;SB23;1057535;B97F5C83A2B244430942
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;750;31-Aug-15;WASHINGTON;DC;200055006;;SB23;1057535;B8584451E3BE9428EBC8
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;150;1-sep-15;WASHINGTON;DC;200055006;;SB23;1057535;BA2C66EB1514E4046B1C
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;8-may-15;WASHINGTON;DC;200095535;;SB23;1057535;B7D9C39BD5B924A32965
C00581215;P60008885;Webb, James Henry Jr.;#REF!;CRAWFORD, CRAIG;6000;12-feb-15;WASHINGTON;DC;200095535;;SB23;1057535;BCD5B6D9B598D406B818
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;300;3-mar-15;WASHINGTON;DC;200055006;DATABASE SERVICES;SB23;1057535;B3FA68B8FE64847E1984
C00581215;P60008885;Webb, James Henry Jr.;#REF!;NGP VAN;750;9-mar-15;WASHINGTON;DC;200055006;DATABASE SERVICES;SB23;1057535;BB9F50A84E26C43E2AA0
